#separator:tab
#html:true
#columns:Cue	Line	Deck	Tags
#deck column:3
#tags column:4
<b>Hierophant:</b> ...The place of Forgetfulness, Dumbness and Necessity, and the greatest symbolic Darkness.	The voice of my Undying and Secret Soul said unto me: <i>(Speaking to Aspirant)</i>	Neophyte::04. Hegemon::06. initiation	initiation Hegemon
The voice of my Undying and Secret Soul said unto me: <i>(Speaking to Aspirant)</i>	Let me enter the Path of Darkness and, peradventure, there shall I find the Light. 	Neophyte::04. Hegemon::06. initiation	initiation Hegemon
Let me enter the Path of Darkness and, peradventure, there shall I find the Light.	I am the only Being in an Abyss of Darkness: from an Abyss of Darkness came I forth ere my birth,	Neophyte::04. Hegemon::06. initiation	initiation Hegemon
I am the only Being in an Abyss of Darkness: from an Abyss of Darkness came I forth ere my birth,	from the Silence of a Primal Sleep. And the Voice of Ages answered to my soul:"	Neophyte::04. Hegemon::06. initiation	initiation Hegemon
<b>Dadouchos:</b> In thy Name, _______________, I consecrate Thee with Fire.<br><br><i>[Context: Approaching Hiereus]</i>	Child of Earth, twice purified and twice consecrated, thou mayest approach the Gateway of the West.	Neophyte::04. Hegemon::06. initiation	initiation Hegemon
<b>Hiereus:</b> Thou canst not pass by me, saith the Guardian of the West, unless thou canst tell me my name.	<i>(Asp. — you prompt)</i> Darkness is thy Name, thou Great One of the Paths of the Shades.	Neophyte::04. Hegemon::06. initiation	initiation Hegemon
<b>Dadouchos:</b> In thy Name, ____________________, I consecrate Thee with Fire.<br><br><i>[Context: Approaching Hierophant]</i>	Child of Earth, thrice purified and thrice consecrated, thou mayest approach the Gateway of the East.	Neophyte::04. Hegemon::06. initiation	initiation Hegemon
<b>Hierophant:</b> Thou canst not pass by me, saith the Guardian of the East, unless thou canst tell me my name.	<i>(Asp. — you prompt)</i> Light dawning in Darkness is thy Name, the Light of a Golden Day!	Neophyte::04. Hegemon::06. initiation	initiation Hegemon
<b>All (whispered):</b> ...AND THE JOY OF DISSOLUTION ALL.	Inheritor of a Dying World, we call thee to the Living Beauty.	Neophyte::04. Hegemon::06. initiation	initiation Hegemon
<b>Hierophant:</b> <i>(Aspirant's motto)</i>	<i>(H&H&H together)</i> We receive thee into the Order of the Golden Dawn!	Neophyte::04. Hegemon::06. initiation	initiation Hegemon
<b>Hiereus:</b> AM<br><br><i>[Context: KHABS AM PEKHT reception, during initiation]</i>	PEKHT	Neophyte::04. Hegemon::06. initiation	initiation Hegemon
<b>Hiereus:</b> KONX<br><br><i>[Context: KHABS AM PEKHT reception, during initiation]</i>	OM	Neophyte::04. Hegemon::06. initiation	initiation Hegemon
<b>Hierophant:</b> PAX<br><br><i>[Context: KHABS AM PEKHT reception, during initiation]</i>	LIGHT	Neophyte::04. Hegemon::06. initiation	initiation Hegemon
<b>Hierophant:</b> Sr/Fr Hegemon, will you please remove the Rope, the last remaining symbol of the Path of Darkness, and invest our Sr/Fr with the Badge of this degree.	I will.	Neophyte::04. Hegemon::06. initiation	initiation Hegemon
<i>(After removing Rope, investing Sr/Fr with Badge)</i>	The Badge of this degree is a solid black sash which goes from the left shoulder to the right hip.	Neophyte::04. Hegemon::06. initiation	initiation Hegemon
The Badge of this degree is a solid black sash which goes from the left shoulder to the right hip.	Upon the breast is a white triangle symbolizing Light dawning in Darkness.	Neophyte::04. Hegemon::06. initiation	initiation Hegemon
<b>Hiereus:</b> <i>(!)</i> AM<br><br><i>[Context: Closing Charge]</i>	<i>(!)</i> PEKHT	Neophyte::04. Hegemon::10. charge_closing	charge_closing Hegemon
<b>Hiereus:</b> <i>(!)</i> KONX<br><br><i>[Context: Closing Charge]</i>	<i>(!)</i> OM	Neophyte::04. Hegemon::10. charge_closing	charge_closing Hegemon
<b>Hierophant:</b> <i>(!)</i> PAX<br><br><i>[Context: Closing Charge]</i>	<i>(!)</i> LIGHT	Neophyte::04. Hegemon::10. charge_closing	charge_closing Hegemon
